,title,description,publishedAt,videoId,liveBroadcastContent
106,Adrenalive no ar - role de moto ao vivo!,Venha comigo na moto.,2022-07-03T05:17:46Z,2b3fU3VVSLo,none
107,Adrenalive 3.0 Ubatuba,,2022-06-03T00:07:42Z,5siUlJeaufw,none
108,De Campo Grande a Chapadão do Céu de Tornado 250,,2020-09-12T04:44:49Z,45GnxH8HaWU,none
109,De Arraias à Palmas de Guincho,viva o alemão.,2020-10-18T22:28:49Z,7t-DL1Nfcg4,none
110,"Parque manancial na cidade secreta de Hohenau, no Paraguai #shorts","Venha conhecer com a gente o parque manancial na cidade secreta de Hohenau, no Paraguai. #vamoslonge #paraguay.",2022-09-26T04:40:58Z,JZmXgdrKEYk,none
111,Dublagens Malditas 4 - Sr Rolando Lero,,2020-08-27T14:30:17Z,BkVzY2RdC7I,none
112,"Shorts Ubatuba de Tornado, primeira viagem de moto em 2019","primeira viagem de moto, vídeo com narração, ano novo Ubatuba 2019 #vamoslonge #motonomade #comosernomadadigital ...",2023-01-17T21:58:27Z,Y3-UyEWDZr8,none
113,"Fábio Chapadin - Homenagem a Pirinópolis, GO (Paródia Zezé de C. E Luciano)","Viajando de moto pelo Brasil, passando por Pirenópolis GO fiz essa singela homenagem em frente a câmara dos vereadores.",2020-09-26T20:29:07Z,4rgtdN2n-Qo,none
114,Bonito 3 - Sorvete Assado,,2020-08-19T20:45:05Z,VQmHcq5K1Tw,none
115,Extra - Reforço do Chassi da Tornado 250,"ATENÇÃO NÃO É UM VÍDEO TUTORIAL, mas vou explicar os passos 1 - Tirou o banco 2 - Terminou de separar a parte ...",2020-09-09T03:07:48Z,MtfZ78pV-JI,none
116,"Salvador - Farol da Barra, Elevador e Pelourinho de moto #motovlog #salvador #brazil","mais acarajé, karaokê, surf e venda de picolés com a minha grande amiga Gabi, tudo isso no Puleiro Hostel com os parças Caio ...",2022-04-20T14:17:22Z,jGaYBqwaoxo,none
117,"De Goiânia a Pirenópolis, Goiás, de Tornado 250",,2020-09-25T09:32:04Z,AAtIEliOq1M,none
118,Vida de Viajante por @euvimarcos,Filosofando no piano.,2020-06-14T03:17:27Z,8PSaKqrsce4,none
119,"Campo Grande - 14 de julho, Camelódromo",,2020-09-03T02:57:29Z,uz5ZXgbU_zw,none
120,Porto Alegre à Pelotas - Enchente no RS,,2020-07-15T19:02:47Z,4-Zc-D_7WK0,none
121,Fábio Chapadin: Homenagem a Campo Grande (Munhoz e Mariano paródia),"A dupla nos tempo de início se apresentavam aqui para amigos como toiço e frango, por isso escolhi a música deles para base.",2020-08-29T20:48:32Z,Z-oFLpFju70,none
122,De Cruz Alta a São Miguel do Oeste de Tornado 250,,2020-08-09T12:13:24Z,AL-uyOAXXKs,none
